Date,Academic_Break,Closed,Fully_Open,Partially_Open,Total
2021-09-19,40,20,107,43,210
2021-09-20,37,22,107,44,210
2021-09-21,34,22,110,44,210
2021-09-22,33,21,110,46,210
2021-09-23,33,21,109,47,210
2021-09-24,33,21,109,47,210
2021-09-25,33,21,109,47,210
2021-09-26,33,21,109,47,210
2021-09-27,28,20,113,49,210
2021-09-28,28,20,113,49,210
2021-09-29,28,20,114,48,210
2021-09-30,28,20,114,48,210
2021-10-01,28,20,116,46,210
2021-10-02,33,20,112,45,210
2021-10-03,32,18,114,46,210
2021-10-04,23,16,124,47,210
2021-10-05,22,16,124,48,210
2021-10-06,22,15,125,48,210
2021-10-07,22,15,126,47,210
2021-10-08,20,15,128,47,210
2021-10-09,20,15,128,47,210
2021-10-10,21,15,127,47,210
2021-10-11,15,15,134,46,210
2021-10-12,15,15,136,44,210
2021-10-13,15,15,137,43,210
2021-10-14,14,15,138,43,210
2021-10-15,15,15,138,42,210
2021-10-16,16,15,137,42,210
2021-10-17,18,15,135,42,210
2021-10-18,17,15,135,43,210
2021-10-19,17,15,135,43,210
2021-10-20,17,15,134,44,210
2021-10-21,15,14,134,47,210
2021-10-22,16,14,133,47,210
2021-10-23,18,15,131,46,210
2021-10-24,17,15,132,46,210
2021-10-25,21,14,127,48,210
2021-10-26,19,14,129,48,210
2021-10-27,19,14,129,48,210
2021-10-28,21,14,127,48,210
2021-10-29,23,14,125,48,210
2021-10-30,22,14,126,48,210
2021-10-31,24,14,124,48,210
2021-11-01,19,10,128,53,210
2021-11-02,17,10,130,53,210
2021-11-03,17,9,131,53,210
2021-11-04,18,9,130,53,210
2021-11-05,18,9,130,53,210
2021-11-06,18,9,131,52,210
2021-11-07,17,9,132,52,210
2021-11-08,7,8,142,53,210
2021-11-09,5,8,144,53,210
2021-11-10,4,8,145,53,210
2021-11-11,3,9,146,52,210
2021-11-12,3,9,146,52,210
2021-11-13,3,9,146,52,210
2021-11-14,3,9,146,52,210
2021-11-15,2,8,147,53,210
2021-11-16,3,8,146,53,210
2021-11-17,3,8,146,53,210
2021-11-18,3,8,146,53,210
2021-11-19,4,8,145,53,210
2021-11-20,6,8,143,53,210
2021-11-21,5,8,144,53,210
2021-11-22,5,8,146,51,210
2021-11-23,5,8,146,51,210
2021-11-24,5,8,146,51,210
2021-11-25,5,8,146,51,210
2021-11-26,6,8,145,51,210
2021-11-27,6,8,145,51,210
2021-11-28,6,8,145,51,210
2021-11-29,6,8,146,50,210
2021-11-30,10,7,145,48,210
2021-12-01,12,7,147,44,210
2021-12-02,12,7,147,44,210
2021-12-03,12,7,147,44,210
2021-12-04,19,7,141,43,210
2021-12-05,18,7,141,44,210
2021-12-06,18,7,141,44,210
2021-12-07,17,7,142,44,210
2021-12-08,17,7,142,44,210
2021-12-09,18,7,141,44,210
2021-12-10,24,7,137,42,210
2021-12-11,29,7,133,41,210
2021-12-12,32,7,131,40,210
2021-12-13,43,6,125,36,210
2021-12-14,43,7,124,36,210
2021-12-15,45,8,123,34,210
2021-12-16,48,8,123,31,210
2021-12-17,71,6,106,27,210
2021-12-18,85,6,94,25,210
2021-12-19,88,6,93,23,210
2021-12-20,112,4,77,17,210
2021-12-21,116,4,73,17,210
2021-12-22,125,2,67,16,210
2021-12-23,148,1,48,13,210
2021-12-24,163,1,35,11,210
2021-12-25,170,1,28,11,210
2021-12-26,172,1,26,11,210
2021-12-27,176,1,22,11,210
2021-12-28,178,1,20,11,210
2021-12-29,179,1,19,11,210
2021-12-30,181,1,18,10,210
2021-12-31,189,1,10,10,210
2022-01-01,192,1,8,9,210
2022-01-02,188,3,9,10,210
2022-01-03,150,6,39,15,210
2022-01-04,132,8,50,20,210
2022-01-05,124,8,57,21,210
2022-01-06,118,9,62,21,210
2022-01-07,115,9,64,22,210
2022-01-08,113,9,66,22,210
2022-01-09,111,9,68,22,210
2022-01-10,67,10,102,31,210
2022-01-11,53,12,113,32,210
2022-01-12,51,12,113,34,210
2022-01-13,51,12,114,33,210
2022-01-14,51,12,113,34,210
2022-01-15,51,12,113,34,210
2022-01-16,50,12,112,36,210
2022-01-17,43,13,118,36,210
2022-01-18,40,13,120,37,210
2022-01-19,40,13,121,36,210
2022-01-20,40,14,120,36,210
2022-01-21,40,14,120,36,210
2022-01-22,40,14,120,36,210
2022-01-23,40,14,121,35,210
2022-01-24,33,10,129,38,210
2022-01-25,34,10,128,38,210
2022-01-26,32,10,130,38,210
2022-01-27,33,10,129,38,210
2022-01-28,33,10,129,38,210
2022-01-29,32,10,130,38,210
2022-01-30,33,9,131,37,210
2022-01-31,27,9,135,39,210
2022-02-01,24,11,139,36,210
2022-02-02,23,9,141,37,210
2022-02-03,22,9,142,37,210
2022-02-04,23,9,141,37,210
2022-02-05,24,9,140,37,210
2022-02-06,24,8,142,36,210
2022-02-07,22,7,145,36,210
2022-02-08,21,7,146,36,210
2022-02-09,21,8,146,35,210
2022-02-10,21,8,146,35,210
2022-02-11,22,8,145,35,210
2022-02-12,22,8,146,34,210
2022-02-13,23,8,146,33,210
2022-02-14,23,6,153,28,210
2022-02-15,23,6,154,27,210
2022-02-16,23,6,154,27,210
2022-02-17,22,6,155,27,210
2022-02-18,23,6,154,27,210
2022-02-19,23,6,154,27,210
2022-02-20,21,6,156,27,210
2022-02-21,15,5,164,26,210
2022-02-22,14,4,166,26,210
2022-02-23,14,4,166,26,210
2022-02-24,14,4,166,26,210
2022-02-25,17,4,163,26,210
2022-02-26,21,4,160,25,210
2022-02-27,21,4,160,25,210
2022-02-28,20,4,161,25,210
2022-03-01,18,4,164,24,210
2022-03-02,13,4,170,23,210
2022-03-03,11,4,172,23,210
2022-03-04,12,4,171,23,210
2022-03-05,12,5,170,23,210
2022-03-06,13,5,172,20,210
2022-03-07,9,5,176,20,210
2022-03-08,8,5,177,20,210
2022-03-09,8,5,177,20,210
2022-03-10,8,5,177,20,210
2022-03-11,10,5,175,20,210
2022-03-12,10,5,174,21,210
2022-03-13,12,5,172,21,210
2022-03-14,11,5,175,19,210
2022-03-15,10,5,177,18,210
2022-03-16,10,4,177,19,210
2022-03-17,11,4,177,18,210
2022-03-18,11,4,177,18,210
2022-03-19,13,4,175,18,210
2022-03-20,12,4,176,18,210
2022-03-21,17,4,173,16,210
2022-03-22,15,4,174,17,210
2022-03-23,15,4,174,17,210
2022-03-24,16,4,173,17,210
2022-03-25,22,4,167,17,210
2022-03-26,26,4,163,17,210
2022-03-27,27,4,162,17,210
2022-03-28,26,4,163,17,210
2022-03-29,26,4,163,17,210
2022-03-30,25,4,163,18,210
2022-03-31,25,4,163,18,210
